Launcher/Target Velocity,Launcher/Error,Launcher/Launcher Velocity,FPGA Time,Drivetrain/Odometry Pose X,Drivetrain/Odometry Pose Y,Drivetrain/Odometry Pose Heading,Drivetrain/Left Wheel Measured Speed,Drivetrain/Right Wheel Measured Speed,Drivetrain/Left Wheel Setpoint,Drivetrain/Right Wheel Setpoint,Battery Voltage,NavX/WorldLinearAccelX,NavX/WorldLinearAccelY,NavX/WorldLinearAccelZ,NavX/RawAccelX,NavX/RawAccelY,NavX/RawAccelZ,Motor Faults,PDP/PDP0 Current,PDP/PDP1 Current,PDP/PDP2 Current,PDP/PDP3 Current,PDP/PDP4 Current,PDP/PDP5 Current,PDP/PDP6 Current,PDP/PDP7 Current,PDP/PDP8 Current,PDP/PDP9 Current,PDP/PDP10 Current,PDP/PDP11 Current,PDP/PDP12 Current,PDP/PDP13 Current,PDP/PDP14 Current,PDP/PDP15 Current,PDP/PDP Temp,PDP/PDP Total Current,PDP/PDP Total Energy,PDP/PDP Total Power,PDP/PDP Input Voltage,Drivetrain/Trajectory Pose X,Drivetrain/Trajectory Pose Y,Drivetrain/Trajectory Pose Heading
0.0000,0.0000,0.0000,10.941,0.0000,0.0000,88.795,0.0000,-0.0000,0.0000,0.0000,12.354,-0.0013885,-0.0013885,-0.0013885,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.037,0.0000,80429,0.0000,12.450,-1.0,-1.0,-1.0
0.0000,0.0000,0.0000,11.095,1.1430,2.3348,0.0000,0.0000,-0.0000,0.0000,0.0000,12.354,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.037,0.0000,80429,0.0000,12.450,-1.0,-1.0,-1.0
0.0000,0.0000,0.0000,11.142,1.1430,2.3348,0.00021362,0.0000,-0.0000,0.0000,0.0000,12.347,-0.0033875,-0.0033875,-0.0033875,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.037,0.0000,80429,0.0000,12.400,-1.0,-1.0,-1.0
0.0000,0.0000,0.0000,11.202,1.1430,2.3348,0.00021362,0.0000,-0.0000,0.0000,0.0000,12.341,-0.0018463,-0.0018463,-0.0018463,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.037,0.0000,80429,0.0000,12.450,-1.0,-1.0,-1.0
0.0000,0.0000,0.0000,11.261,1.1430,2.3348,-0.010712,0.0000,-0.0000,0.11119,0.11816,12.297,-0.0020599,-0.0020599,0.00079346,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.037,0.0000,80429,0.0000,12.400,1.1494,2.3348,0.039617
0.0000,0.0000,0.0000,11.308,1.1459,2.3348,0.00082397,0.029752,0.025685,0.16160,0.17174,12.216,-0.056961,-0.056961,-0.056961,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.037,0.0000,80429,0.0000,12.300,1.1562,2.3348,0.081509
0.0000,0.0000,0.0000,11.365,1.1512,2.3348,0.022141,0.093323,0.069350,0.22272,0.23664,12.234,-0.036713,-0.036713,-0.036713,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23.004,0.0000,80429,0.0000,12.350,1.1673,2.3349,0.14999
0.0000,0.0000,0.0000,11.396,1.1551,2.3348,-0.00016785,0.11794,0.087972,0.25553,0.27151,12.234,-0.015121,-0.015121,-0.015121,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.037,0.0000,80429,0.0000,12.300,1.1747,2.3349,0.19587
0.0000,0.0000,0.0000,11.425,1.1600,2.3348,0.0077057,0.11986,0.12008,0.28757,0.30573,12.209,-0.0093231,-0.0093231,-0.0093231,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.037,0.0000,80429,0.0000,12.300,1.1826,2.3350,0.24452
0.0000,0.0000,0.0000,11.457,1.1680,2.3348,0.033646,0.16610,0.16802,0.32296,0.34340,12.234,0.030518,0.030518,0.030518,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.037,0.0000,80429,0.0000,12.300,1.1921,2.3350,0.30318
